name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Niakhaté,NFO,DEF,4.5,Available,1163,25,0,1.8,0.2
O'Brien,NFO,MID,5.0,Available,578,22,0,1.7,0.0
Ojeda,NFO,MID,4.5,Available,0,0,0,0.0,0.0
Panzo,NFO,DEF,4.0,Available,0,0,0,0.0,0.2
O.Richards,NFO,DEF,4.5,Available,0,0,0,0.0,0.1
G.Scarpa,NFO,MID,4.5,Available,177,5,0,0.8,0.1
Shelvey,NFO,MID,5.0,Available,573,16,0,1.5,0.0
Surridge,NFO,FWD,4.5,Available,306,26,3,1.3,11.0
Toffolo,NFO,DEF,4.5,Available,933,30,1,1.6,0.1
Ui-jo,NFO,FWD,4.5,Available,0,0,0,0.0,0.4
Williams,NFO,DEF,4.5,Available,1872,54,1,1.7,0.4
Wood,NFO,FWD,5.0,Available,807,53,7,2.1,0.5
Worrall,NFO,DEF,4.5,Available,2215,61,2,2.0,0.1
Yates,NFO,MID,5.0,Available,1833,53,0,2.0,0.1
Ahmedhodžić,SHU,DEF,4.5,Available,0,0,0,0.0,0.9
Amissah,SHU,GKP,4.0,Available,0,0,0,0.0,0.5
Baldock,SHU,DEF,4.0,Available,0,0,0,0.0,6.2
Basham,SHU,DEF,4.0,Available,0,0,0,0.0,0.5
Berge,SHU,MID,5.0,Available,0,0,0,0.0,0.3
Bogle,SHU,DEF,4.5,Available,0,0,0,0.0,0.2
Brewster,SHU,FWD,5.0,Available,0,0,0,0.0,0.4
Coulibaly,SHU,MID,4.5,Available,0,0,0,0.0,0.4
Davies,SHU,GKP,4.0,Available,0,0,0,0.0,0.3
Egan,SHU,DEF,4.5,Available,0,0,0,0.0,0.2
Fleck,SHU,MID,5.0,Available,0,0,0,0.0,0.1
Foderingham,SHU,GKP,4.5,Available,0,0,0,0.0,0.5
Jebbison,SHU,FWD,5.0,Available,0,0,0,0.0,0.1
Lowe,SHU,DEF,4.5,Available,0,0,0,0.0,0.2
McBurnie,SHU,FWD,5.5,Available,0,0,0,0.0,0.2
Ndiaye,SHU,FWD,5.5,Available,0,0,0,0.0,1.2
Norrington-Davies,SHU,DEF,4.0,Available,0,0,0,0.0,0.3
Norwood,SHU,MID,5.0,Available,0,0,0,0.0,0.1
Osborn,SHU,MID,5.0,Available,0,0,0,0.0,0.0
Osula,SHU,FWD,4.5,Available,0,0,0,0.0,0.5
Robinson,SHU,DEF,4.5,Available,0,0,0,0.0,0.1
Slimane,SHU,MID,5.0,Available,0,0,0,0.0,0.0
Austin,TOT,GKP,4.0,Available,0,0,0,0.0,0.2
Bentancur,TOT,MID,5.5,Injured,1501,71,7,3.9,0.0
Bissouma,TOT,MID,5.0,Available,998,27,0,1.2,0.1
Bryan,TOT,MID,5.0,Available,146,9,0,2.2,0.0
Davies,TOT,DEF,4.5,Available,2284,99,3,3.2,0.7
Dier,TOT,DEF,4.5,Available,2816,96,5,2.9,1.0
E.Royal,TOT,DEF,4.5,Available,1729,86,9,3.3,0.6
Forster,TOT,GKP,4.0,Available,1215,40,1,2.9,5.4
Højbjerg,TOT,MID,5.5,Available,3131,120,10,3.4,0.5
Kane,TOT,FWD,12.5,Available,3406,263,48,6.9,16.3
Kulusevski,TOT,MID,7.0,Available,2062,96,5,3.2,2.1
Lloris,TOT,GKP,5.0,Available,2205,89,12,3.6,0.8
